Bexley,Brent,Camden,City,Croydon,Ealing,Greenwich,Islington,Kensington,Westminster
1.0,0.783910888124,0.525817184518,0.814945211015,0.562644397358,0.882721157815,0.75695101941,0.831561381639,0.868925939648,0.821957951026
0.783910888124,1.0,0.586676093411,0.819677854133,0.647803730434,0.819208748533,0.56133487733,0.87489168404,0.82948654845,0.814855324386
0.525817184518,0.586676093411,1.0,0.549310035215,0.699145423798,0.586916627649,0.657839346491,0.528717402837,0.593791562236,0.651767067614
0.814945211015,0.819677854133,0.549310035215,1.0,0.56051850944,0.802479711535,0.683062623354,0.771557369571,0.810910274949,0.804093345734
0.562644397358,0.647803730434,0.699145423798,0.56051850944,1.0,0.59040745037,0.582154711037,0.601911606498,0.592794312214,0.661182133222
0.882721157815,0.819208748533,0.586916627649,0.802479711535,0.59040745037,1.0,0.731454529161,0.846775286201,0.929792827158,0.870058931587
0.75695101941,0.56133487733,0.657839346491,0.683062623354,0.582154711037,0.731454529161,1.0,0.561201069994,0.679585155985,0.662952492269
0.831561381639,0.87489168404,0.528717402837,0.771557369571,0.601911606498,0.846775286201,0.561201069994,1.0,0.862140530447,0.862398013694
0.868925939648,0.82948654845,0.593791562236,0.810910274949,0.592794312214,0.929792827158,0.679585155985,0.862140530447,1.0,0.88201926984
0.821957951026,0.814855324386,0.651767067614,0.804093345734,0.661182133222,0.870058931587,0.662952492269,0.862398013694,0.88201926984,1.0
